============================================================
CFR CONVERGENCE METRICS - DEAL OR NO DEAL
============================================================

GAME PARAMETERS:
  max_turns: 3
  max_num_instances: 5
  discount: 1.0
  prob_end: 0.0

TIMING:
  Total iterations: 2000
  Wall clock time: 1541.31 seconds
  Time per iteration: 0.7707 seconds
  Iterations per second: 1.30

FINAL METRICS:
  Policy delta: 0.633333
  Expected value P0: 2.7000
  Expected value P1: 10.0000
  Social welfare: 12.7000
  Cumulative regret: 0.06
  Policy variance: 0.250333

CONVERGENCE ASSESSMENT:
  Strategy convergence: WEAK (delta >= 0.5)
  Policy stability: STABLE (low variance)

============================================================
ITERATION HISTORY:
============================================================
  Iter      Delta      EV_P0      EV_P1    Welfare   Variance     Regret
  1740   0.000000     2.0333    10.0000    12.0333   0.283471       0.06
  1760   0.600000     2.6333    10.0000    12.6333   0.265665       0.06
  1780   0.600000     2.0333    10.0000    12.0333   0.277769       0.06
  1800   0.266667     2.3000    10.0000    12.3000   0.237019       0.06
  1820   0.233333     2.0667    10.0000    12.0667   0.232475       0.06
  1840   0.333333     2.4000    10.0000    12.4000   0.221711       0.06
  1860   0.166667     2.2333    10.0000    12.2333   0.138884       0.06
  1880   0.033333     2.2667    10.0000    12.2667   0.108730       0.06
  1900   0.066667     2.2000    10.0000    12.2000   0.107497       0.06
  1920   0.268742     2.4333     9.8667    12.3000   0.107083       0.06
  1940   0.328295     2.1333    10.0000    12.1333   0.113529       0.06
  1960   0.033333     2.1000    10.0000    12.1000   0.129615       0.06
  1980   0.033333     2.0667    10.0000    12.0667   0.141421       0.06
  1999   0.633333     2.7000    10.0000    12.7000   0.250333       0.06
