EFR_CSPS_in EFCE
20 1.3812
40 0.941667
60 0.674077
80 0.515471
100 0.417286
120 0.36904
140 0.332862
160 0.315758
180 0.308622
200 0.299512
220 0.279689
240 0.265347
260 0.263698
280 0.256912
300 0.24688
320 0.243521
340 0.239684
360 0.235967
380 0.232363
400 0.226606
420 0.22341
440 0.220303
460 0.217281
480 0.214341
500 0.214516
520 0.212223
540 0.209978
560 0.20778
580 0.205627
600 0.206206
620 0.204528
640 0.202877
660 0.201253
680 0.199654
700 0.204866
720 0.203599
740 0.202347
760 0.201111
780 0.19989
800 0.197304
820 0.196039
840 0.19479
860 0.193558
880 0.19234
900 0.199218
920 0.198254
940 0.197298
960 0.196352
980 0.195416
1000 0.194487
