CFR EFCCE
20 1.3556
40 0.957444
60 0.711077
80 0.543765
100 0.441381
120 0.38408
140 0.33269
160 0.30297
180 0.289676
200 0.277854
220 0.268489
240 0.24751
260 0.22883
280 0.212772
300 0.2017
320 0.198472
340 0.195345
360 0.192315
380 0.189378
400 0.189585
420 0.186967
440 0.184374
460 0.181852
480 0.179397
500 0.177652
520 0.175356
540 0.173119
560 0.170939
580 0.168812
600 0.178115
620 0.176805
640 0.175824
660 0.174707
680 0.173512
700 0.183971
720 0.182779
740 0.1815
760 0.180401
780 0.179162
800 0.187688
820 0.18675
840 0.185769
860 0.184798
880 0.183838
900 0.118652
920 0.117167
940 0.11572
960 0.114308
980 0.11293
1000 0.111584
