EFR_CSPS EFCCE
20 1.33
40 0.935
60 0.656615
80 0.503882
100 0.406476
120 0.36084
140 0.310586
160 0.280576
180 0.271784
200 0.275366
220 0.2708
240 0.262939
260 0.260113
280 0.251298
300 0.24136
320 0.238161
340 0.234409
360 0.230773
380 0.227249
400 0.228504
420 0.225485
440 0.222544
460 0.219679
480 0.216887
500 0.228188
520 0.226236
540 0.224318
560 0.222432
580 0.220577
600 0.221936
620 0.220108
640 0.218309
660 0.21654
680 0.214799
700 0.226138
720 0.224729
740 0.223337
760 0.221962
780 0.220604
800 0.226776
820 0.22561
840 0.224455
860 0.223312
880 0.22218
900 0.212676
920 0.211023
940 0.209397
960 0.207795
980 0.206217
1000 0.204663
