EFR_ACT_in AFCE
20 1.386
40 0.966333
60 0.687
80 0.525353
100 0.425286
120 0.38068
140 0.340621
160 0.324879
180 0.313216
200 0.299073
220 0.279111
240 0.262816
260 0.256604
280 0.247228
300 0.23664
320 0.233477
340 0.229798
360 0.226234
380 0.222779
400 0.215181
420 0.212172
440 0.209245
460 0.206398
480 0.203627
500 0.203075
520 0.200926
540 0.198823
560 0.196763
580 0.194745
600 0.205367
620 0.203531
640 0.201728
660 0.199957
680 0.198216
700 0.204327
720 0.202962
740 0.201614
760 0.200285
780 0.198972
800 0.200944
820 0.199894
840 0.198855
860 0.197826
880 0.196808
900 0.201081
920 0.200163
940 0.199254
960 0.198352
980 0.197459
1000 0.196574
