EFR_BHV_in EFCE
20 1.379
40 0.957222
60 0.676154
80 0.518353
100 0.417952
120 0.36936
140 0.335552
160 0.320788
180 0.311757
200 0.302512
220 0.295356
240 0.286796
260 0.281528
280 0.271947
300 0.2689
320 0.264908
340 0.260735
360 0.256691
380 0.25277
400 0.247797
420 0.244287
440 0.240876
460 0.237559
480 0.234331
500 0.244112
520 0.241718
540 0.239371
560 0.237068
580 0.23481
600 0.236568
620 0.234551
640 0.232569
660 0.23062
680 0.228703
700 0.223152
720 0.221246
740 0.219373
760 0.217532
780 0.215721
800 0.231782
820 0.230494
840 0.229221
860 0.227961
880 0.226715
900 0.146065
920 0.143263
940 0.140567
960 0.137971
980 0.135468
1000 0.133055
