EFR_ACT AFCCE
20 1.338
40 0.923333
60 0.697385
80 0.533294
100 0.431714
120 0.37344
140 0.321448
160 0.29097
180 0.286811
200 0.275415
220 0.266222
240 0.245388
260 0.226868
280 0.210947
300 0.197115
320 0.184985
340 0.174261
360 0.164712
380 0.156156
400 0.148444
420 0.141459
440 0.135191
460 0.129376
480 0.124041
500 0.11928
520 0.118324
540 0.117383
560 0.116457
580 0.115546
600 0.112408
620 0.111533
640 0.111025
660 0.110572
680 0.109877
700 0.110717
720 0.110001
740 0.109499
760 0.108862
780 0.10836
800 0.107039
820 0.106426
840 0.105791
860 0.105163
880 0.104542
900 0.102773
920 0.102262
940 0.101757
960 0.101256
980 0.10076
1000 0.100269
