CFR EFCE
20 1.4492
40 1.00956
60 0.724462
80 0.554588
100 0.45419
120 0.3964
140 0.342483
160 0.311515
180 0.301189
200 0.289854
220 0.275867
240 0.253347
260 0.234226
280 0.217789
300 0.203508
320 0.190985
340 0.179913
360 0.170055
380 0.161221
400 0.153259
420 0.145906
440 0.139573
460 0.13357
480 0.128062
500 0.1235
520 0.12251
540 0.121536
560 0.120577
580 0.119633
600 0.117002
620 0.11605
640 0.115334
660 0.11459
680 0.113958
700 0.115929
720 0.115404
740 0.114702
760 0.114253
780 0.113622
800 0.116469
820 0.11583
840 0.115158
860 0.114493
880 0.113836
900 0.113698
920 0.113066
940 0.112441
960 0.111823
980 0.111212
1000 0.110607
