EFR_TIPS EFCCE
20 1.3836
40 0.942889
60 0.679385
80 0.521294
100 0.422476
120 0.36752
140 0.320759
160 0.291091
180 0.287946
200 0.280732
220 0.267733
240 0.245469
260 0.226943
280 0.211018
300 0.19718
320 0.185046
340 0.174319
360 0.164767
380 0.156208
400 0.148494
420 0.141506
440 0.134652
460 0.12886
480 0.123546
500 0.119
520 0.118046
540 0.117108
560 0.116184
580 0.115298
600 0.109574
620 0.108652
640 0.108208
660 0.1076
680 0.106738
700 0.108455
720 0.107854
740 0.107644
760 0.10705
780 0.106392
800 0.104333
820 0.10371
840 0.103089
860 0.102474
880 0.101867
900 0.0979308
920 0.0973968
940 0.0968685
960 0.0964377
980 0.095931
1000 0.0954191
