EFR_TIPS_in EFCE
50 0.529667
100 0.514833
150 0.514444
200 0.414583
250 0.378333
300 0.338331
350 0.0745192
400 0.0545055
450 0.0395544
500 0.0214046
550 0.000265278
600 0.000249462
650 0.0481796
700 0.0344333
750 0.000318743
800 0.000299962
850 2.55312e-06
900 2.97154e-06
950 0.0380054
1000 0.0316966
