CFR AFCCE
50 0.475667
100 0.318833
150 0.350667
200 0.389083
250 0.392267
300 0.352574
350 0.0256939
400 0.0181299
450 0.000179052
500 0.000255708
550 1.68239e-06
600 5.71018e-06
650 1.68275e-08
700 9.02507e-08
750 0.0189646
800 4.16516e-08
850 1.62337e-12
900 3.98458e-10
950 1.59872e-14
1000 2.22045e-15
