EFR_CSPS EFCCE
50 0.475
100 0.4635
150 0.487667
200 0.477833
250 0.407333
300 0.346743
350 0.129149
400 0.0914445
450 0.00150649
500 0.00235735
550 0.0272394
600 0.000150888
650 8.6812e-08
700 2.8406e-06
750 8.67943e-10
800 1.27121e-08
850 8.71303e-12
900 3.51717e-10
950 9.32587e-14
1000 1.95399e-14
