EFR_ACT_in AFCE
50 0.565667
100 0.429833
150 0.427444
200 0.428667
250 0.379667
300 0.3365
350 0.0389671
400 0.0523644
450 0.000450264
500 0.00155129
550 4.17297e-06
600 9.38219e-05
650 4.17672e-08
700 2.54095e-06
750 4.17694e-10
800 2.29991e-08
850 4.24305e-12
900 2.5811e-10
950 3.95239e-14
1000 1.24345e-14
