EFR_BHV_in EFCE
50 0.516667
100 0.502
150 0.498778
200 0.451167
250 0.413467
300 0.379667
350 0.266607
400 0.238481
450 0.0489043
500 0.0519806
550 0.00340309
600 0.00178941
650 1.82462e-05
700 4.9549e-05
750 1.80424e-07
800 9.98726e-07
850 1.80433e-09
900 8.5346e-09
950 1.80631e-11
1000 8.96239e-12
